,Unnamed: 0,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
0,"('AS14.01', datetime.date(2014, 2, 26))",6.25,-0.25,0.75,,,1.0,1.0,,,,,,,,,,,,
1,"('AS14.01', datetime.date(2014, 2, 27))",6.285714285714286,-0.14285714285714285,0.5714285714285714,,,1.0,1.0,,,,,,,,,,,,
2,"('AS14.01', datetime.date(2014, 3, 21))",6.25,0.0,0.4166666666666667,0.12984990519404704,160.75278571673795,1.0,1.0,12.932049618320612,55.954430463576166,54.33248,6.193,,57.40200000000001,25.1096,74.87649295774652,70.41884615384616,45.173,22.136714285714284,
3,"('AS14.01', datetime.date(2014, 3, 22))",6.294117647058823,0.17647058823529413,,0.1716178326265977,103.51769411704113,1.0,1.0,11.571983146067414,54.299744939271264,53.764296296296294,6.420000000000001,,57.40200000000001,20.543470588235294,69.34774698795184,68.05357142857143,45.173,23.788677419354837,
4,"('AS14.01', datetime.date(2014, 3, 23))",6.409090909090909,0.18181818181818182,,0.16388299776368687,93.17652809352013,1.0,1.0,11.701021645021651,54.05610434782611,51.53273333333333,7.601533333333333,,57.40200000000001,18.350521739130436,65.90794059405944,68.05357142857143,45.173,23.98546875,30.386
5,"('AS14.01', datetime.date(2014, 3, 24))",6.333333333333333,0.2962962962962963,,0.13840641526926015,87.35180253956625,1.0,1.0,9.862937106918256,51.70367592592595,66.3935,7.053761904761904,,43.804,16.84896551724138,68.61338888888889,72.23973684210527,45.173,27.831382352941176,30.386
6,"('AS14.01', datetime.date(2014, 3, 25))",6.387096774193548,0.3225806451612903,,0.12916819152800937,102.64145802784383,1.0,1.0,9.897814363143643,55.590299854439635,64.778975,7.64732,,43.804,19.069685714285715,68.6034825581395,72.23973684210527,31.15511111111111,26.571818181818173,30.386
7,"('AS14.01', datetime.date(2014, 3, 26))",6.416666666666667,0.25,,0.12394446592964685,100.95820750441106,1.0,1.0,9.661451539338666,53.68087485779297,74.50293617021276,7.855290322580644,,43.804,18.657,78.42994258373206,72.23973684210527,31.15511111111111,26.722777777777768,30.386
8,"('AS14.01', datetime.date(2014, 3, 27))",6.487804878048781,0.24390243902439024,,0.1291608382687663,104.81730870510401,1.0,1.0,9.410688651794391,52.09047256977863,73.94601785714285,8.403911764705882,,22.354187500000002,17.520617021276596,78.05062612612613,67.61280952380952,31.15511111111111,24.670607142857143,30.386
9,"('AS14.01', datetime.date(2014, 3, 28))",6.478260869565218,0.15217391304347827,,0.12454527735405646,100.82062267681034,1.0,1.0,17.112567099567134,51.152403720930245,76.81164179104476,9.143878048780484,116.518,22.354187500000002,19.800377358490568,73.71892561983472,63.821950000000015,31.15511111111111,25.504106060606063,30.386
10,"('AS14.01', datetime.date(2014, 3, 29))",6.627450980392157,0.1568627450980392,,0.11771588738409439,102.46106315788467,1.0,1.0,17.542524232633312,50.980146643109535,82.60742682926825,9.143878048780484,116.518,22.354187500000002,20.316899999999997,73.25147199999999,60.588674418604676,31.15511111111111,25.376755555555565,30.386
