date_time,participant_id,batch,mood,mood_count,circumplex.arousal,circumplex.arousal_count,circumplex.valence,circumplex.valence_count,activity,activity_count,screen,screen_count,call,call_count,sms,sms_count,appCat.builtin,appCat.builtin_count,appCat.communication,appCat.communication_count,appCat.entertainment,appCat.entertainment_count,appCat.finance,appCat.finance_count,appCat.game,appCat.game_count,appCat.office,appCat.office_count,appCat.other,appCat.other_count,appCat.social,appCat.social_count,appCat.travel,appCat.travel_count,appCat.unknown,appCat.unknown_count,appCat.utilities,appCat.utilities_count,appCat.weather,appCat.weather_count,sum_of_counts
2014-03-21,AS14.01,0,6.2,5,0.2,5,0.2,5,0.1340501039893886,23,17978.90700006484,117,6.0,6,0.0,0,3139.2180000000008,220,6280.890000000003,114,1007.456,19,49.544,8,0.0,0,172.20600000000002,3,239.75100000000003,8,4508.500000000001,60,915.4450000000002,13,0.0,0,598.7539999999999,26,0.0,0,632
2014-03-22,AS14.01,0,6.4,5,0.6,5,0.5,4,0.2368802192399581,16,6142.160999536514,129,3.0,3,1.0,1,731.4290000000001,94,4962.9180000000015,96,93.324,2,21.076,3,0.0,0,0.0,0,98.143,7,439.6319999999999,12,37.305,1,0.0,0,117.621,3,0.0,0,381
2014-03-23,AS14.01,0,6.8,5,0.2,5,0.8,5,0.1427411158050636,15,6773.832001447676,101,0.0,0,0.0,0,1286.246,106,5237.318999999999,98,94.346,3,43.403000000000006,4,0.0,0,0.0,0,72.82300000000001,6,900.839,18,0.0,0,0.0,0,30.086,1,30.386,1,368
2014-03-24,AS14.01,0,6.0,5,0.8,5,0.0,5,0.0789610561155979,24,15047.351000547404,196,10.0,10,0.0,0,866.9559999999996,174,9270.629,195,976.971,8,34.106,6,0.0,0,3.01,1,66.55799999999999,6,3223.6259999999993,43,419.805,5,0.0,0,178.732,2,0.0,0,685
2014-03-25,AS14.01,0,6.75,4,0.5,4,0.5,4,0.0983741123905067,24,13569.96846235123,127,0.0,0,1.0,1,1032.7680000000005,103,10276.750999999998,148,68.206,2,43.053999999999995,4,0.0,0,0.0,0,178.819,6,1919.471,28,0.0,0,235.223,8,222.89299999999997,10,0.0,0,473
2014-03-26,AS14.01,0,6.6,5,-0.2,5,0.6,5,0.1013083216700759,24,13651.637821556218,174,0.0,0,0.0,0,1167.4969999999996,138,8988.753,191,910.479,7,52.331,6,0.0,0,0.0,0,97.498,6,4592.058999999999,37,0.0,0,0.0,0,33.365,1,0.0,0,599
2014-03-27,AS14.01,0,7.0,5,0.2,5,0.8,5,0.1595106409690975,22,9426.745820404178,135,2.0,2,1.0,1,1229.327,154,6936.512000000001,160,639.3389999999999,9,42.218999999999994,3,0.0,0,182.451,12,58.532,6,935.381,13,47.314,2,0.0,0,179.02899999999997,11,0.0,0,545
2014-03-28,AS14.01,0,6.4,5,-0.6,5,0.6,5,0.0956980216371201,24,4923.48899960518,88,5.0,5,0.0,0,912.0999282101355,124,866.833,36,1005.403,11,89.16600000000001,7,233.036,2,0.0,0,225.951,6,512.741,20,1133.009,19,0.0,0,301.717,10,0.0,0,367
2014-03-29,AS14.01,0,8.0,5,0.2,5,1.0,5,0.0682028101018696,24,8322.6219997406,64,4.0,4,1.0,1,1952.63,83,2720.692,57,1627.429,15,0.0,0,0.0,0,0.0,0,169.594,7,472.888,8,52.435,3,0.0,0,600.6370000000001,24,0.0,0,305
2014-03-30,AS14.01,0,7.5,4,-0.5,4,0.75,4,0.049092970521542,14,4523.2140009403265,27,0.0,0,0.0,0,414.365,53,1298.505,21,1535.677,9,0.0,0,0.0,0,0.0,0,74.003,6,167.685,3,0.0,0,66.477,2,38.296,1,0.0,0,148
2014-03-31,AS14.01,0,7.4,5,0.0,5,0.6,5,0.0705054808833895,24,8439.346821428424,124,6.0,6,0.0,0,1299.757928210136,174,5332.637,129,1758.9199999999998,34,41.255,6,51.176,1,0.0,0,268.554,11,1350.6549999999995,24,183.381,5,29.29,1,210.305,17,0.0,0,571
2014-04-01,AS14.01,0,6.0,5,0.2,5,0.0,5,0.1184432427127359,24,17173.906002044678,190,1.0,1,0.0,0,1385.5170000000005,241,6095.526000000001,184,1030.637,24,547.826,36,234.741,3,92.388,3,121.19,8,5040.067000000002,110,1614.621,14,0.0,0,517.636,27,0.0,0,880
2014-04-02,AS14.01,0,6.5,4,0.3333333333333333,3,0.6666666666666666,3,0.1019166106382234,24,15471.330820919164,226,4.0,4,0.0,0,2162.1389282101354,220,6920.155999999999,205,1343.376,29,247.777,19,0.0,0,90.481,1,541.541,23,3428.7920000000004,53,0.0,0,0.0,0,341.371,16,0.0,0,830
