date,id,batch,mood,mood_count,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
21/03/2014,AS14.01,0,6.2,5,0.2,0.2,0.134050104,17978.907,6,0,3139.218,6280.89,1007.456,49.544,0,172.206,239.751,4508.5,915.445,0,598.754,0
22/03/2014,AS14.01,0,6.4,5,0.6,0.5,0.236880219,6142.161,3,1,731.429,4962.918,93.324,21.076,0,0,98.143,439.632,37.305,0,117.621,0
23/03/2014,AS14.01,0,6.8,5,0.2,0.8,0.142741116,6773.832001,0,0,1286.246,5237.319,94.346,43.403,0,0,72.823,900.839,0,0,30.086,30.386
24/03/2014,AS14.01,0,6,5,0.8,0,0.078961056,15047.351,10,0,866.956,9270.629,976.971,34.106,0,3.01,66.558,3223.626,419.805,0,178.732,0
25/03/2014,AS14.01,0,6.75,4,0.5,0.5,0.098374112,13569.96846,0,1,1032.768,10276.751,68.206,43.054,0,0,178.819,1919.471,0,235.223,222.893,0
26/03/2014,AS14.01,0,6.6,5,-0.2,0.6,0.101308322,13651.63782,0,0,1167.497,8988.753,910.479,52.331,0,0,97.498,4592.059,0,0,33.365,0
27/03/2014,AS14.01,0,7,5,0.2,0.8,0.159510641,9426.74582,2,1,1229.327,6936.512,639.339,42.219,0,182.451,58.532,935.381,47.314,0,179.029,0
28/03/2014,AS14.01,0,6.4,5,-0.6,0.6,0.095698022,4923.489,5,0,912.0999282,866.833,1005.403,89.166,233.036,0,225.951,512.741,1133.009,0,301.717,0
29/03/2014,AS14.01,0,8,5,0.2,1,0.06820281,8322.622,4,1,1952.63,2720.692,1627.429,0,0,0,169.594,472.888,52.435,0,600.637,0
30/03/2014,AS14.01,0,7.5,4,-0.5,0.75,0.049092971,4523.214001,0,0,414.365,1298.505,1535.677,0,0,0,74.003,167.685,0,66.477,38.296,0
31/03/2014,AS14.01,0,7.4,5,0,0.6,0.070505481,8439.346821,6,0,1299.757928,5332.637,1758.92,41.255,51.176,0,268.554,1350.655,183.381,29.29,210.305,0
01/04/2014,AS14.01,0,6,5,0.2,0,0.118443243,17173.906,1,0,1385.517,6095.526,1030.637,547.826,234.741,92.388,121.19,5040.067,1614.621,0,517.636,0
02/04/2014,AS14.01,0,6.5,4,0.333333333,0.666666667,0.101916611,15471.33082,4,0,2162.138928,6920.156,1343.376,247.777,0,90.481,541.541,3428.792,0,0,341.371,0
