,mood,mood_count,circumplex.arousal,circumplex.arousal_count,circumplex.valence,circumplex.valence_count,activity,activity_count,screen,screen_count,call,call_count,sms,sms_count,appCat.builtin,appCat.builtin_count,appCat.communication,appCat.communication_count,appCat.entertainment,appCat.entertainment_count,appCat.finance,appCat.finance_count,appCat.game,appCat.game_count,appCat.office,appCat.office_count,appCat.other,appCat.other_count,appCat.social,appCat.social_count,appCat.travel,appCat.travel_count,appCat.unknown,appCat.unknown_count,appCat.utilities,appCat.utilities_count,appCat.weather,appCat.weather_count
"('AS14.01', datetime.date(2014, 2, 26))",25.0,4,-1.0,4,3.0,4,0.0,0,0.0,0,18.0,18,9.0,9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.01', datetime.date(2014, 2, 27))",44.0,7,-1.0,7,4.0,7,0.0,0,0.0,0,18.0,18,9.0,9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.01', datetime.date(2014, 3, 21))",75.0,12,0.0,12,5.0,12,3.2462476298511764,25,20254.85100030898,126,57.0,57,19.0,19,3388.197,262,8449.119,151,1358.312,25,49.544000000000004,8,0.0,0,172.20600000000002,3,251.096,10,5316.2310000000025,71,915.4450000000002,13,45.173,1,619.828,28,0.0,0
"('AS14.01', datetime.date(2014, 3, 22))",107.0,17,3.0,17,,17,7.036331137690506,41,26397.011999845494,255,60.0,60,20.0,20,4119.625999999999,356,13412.037000000002,247,1451.636,27,70.62,11,0.0,0,172.20600000000002,3,349.239,17,5755.863000000002,83,952.7500000000001,14,45.173,1,737.449,31,0.0,0
"('AS14.01', datetime.date(2014, 3, 23))",141.0,22,4.0,22,,22,9.177447874766463,56,33170.84400129317,356,60.0,60,20.0,20,5405.872000000003,462,18649.356000000007,345,1545.982,30,114.023,15,0.0,0,172.20600000000002,3,422.062,23,6656.702000000003,101,952.7500000000001,14,45.173,1,767.535,32,30.386,1
"('AS14.01', datetime.date(2014, 3, 24))",171.0,27,8.0,27,,27,11.072513221540811,80,48218.19500184057,552,70.0,70,20.0,20,6272.828000000011,636,27919.985000000015,540,2522.953,38,148.129,21,0.0,0,175.216,4,488.62,29,9880.328,144,1372.555,19,45.173,1,946.2669999999999,34,30.386,1
"('AS14.01', datetime.date(2014, 3, 25))",198.0,31,10.0,31,,31,13.433491918912974,104,69693.55000090596,679,70.0,70,21.0,21,7304.587000000009,738,38190.53600000003,687,2591.1589999999997,40,191.18299999999996,25,0.0,0,175.216,4,667.4390000000001,35,11799.798999999997,172,1372.555,19,280.39599999999996,9,1169.1599999999996,44,30.386,1
"('AS14.01', datetime.date(2014, 3, 26))",231.0,36,9.0,36,,36,15.864891638994797,128,86117.35100126264,853,70.0,70,21.0,21,8473.09300000001,877,47185.48900000002,879,3501.638,47,243.51399999999995,31,0.0,0,175.216,4,764.937,41,16391.858,209,1372.555,19,280.39599999999996,9,1202.5249999999996,45,30.386,1
"('AS14.01', datetime.date(2014, 3, 27))",266.0,41,10.0,41,,41,19.37412574031494,150,103559.50100064275,988,72.0,72,22.0,22,9702.420000000018,1031,54122.001000000004,1039,4140.977,56,285.73299999999995,34,0.0,0,357.66700000000003,16,823.469,47,17327.239,222,1419.869,21,280.39599999999996,9,1381.554,56,30.386,1
"('AS14.01', datetime.date(2014, 3, 28))",298.0,46,7.0,46,,46,21.670878259605825,174,108482.99000024793,1076,77.0,77,22.0,22,19765.015000000036,1155,54988.83400000001,1075,5146.379999999999,67,374.8989999999999,41,233.036,2,357.66700000000003,16,1049.42,53,17839.980000000003,242,2552.8780000000006,40,280.39599999999996,9,1683.2710000000002,66,30.386,1
"('AS14.01', datetime.date(2014, 3, 29))",338.0,51,8.0,51,,51,23.307745702050692,198,116805.61199998853,1140,81.0,81,23.0,23,21717.645000000037,1238,57709.52599999999,1132,6773.808999999997,82,374.8989999999999,41,233.036,2,357.66700000000003,16,1219.0140000000001,60,18312.868,250,2605.3130000000006,43,280.39599999999996,9,2283.908000000001,90,30.386,1
"('AS14.01', datetime.date(2014, 3, 30))",368.0,55,6.0,55,,55,23.99504728935228,212,121328.82600092885,1167,81.0,81,23.0,23,22132.010000000035,1291,59008.030999999995,1153,8309.485999999997,91,374.8989999999999,41,233.036,2,357.66700000000003,16,1293.017,66,18480.553,253,2605.3130000000006,43,346.87299999999993,11,2322.2040000000006,91,30.386,1
"('AS14.01', datetime.date(2014, 3, 31))",405.0,60,6.0,60,,60,25.687178830553623,236,133165.6600012779,1291,87.0,87,23.0,23,25093.415000000026,1465,64340.668000000005,1282,10068.405999999995,125,416.1539999999999,47,284.212,3,357.66700000000003,16,1561.5710000000001,77,19831.20799999999,277,2788.694000000001,48,376.16299999999995,12,2532.509,108,30.386,1
"('AS14.01', datetime.date(2014, 4, 1))",435.0,65,7.0,65,,65,28.529816655659282,260,150339.56600332257,1481,88.0,88,23.0,23,26478.932000000023,1706,70436.19400000005,1466,11099.042999999996,149,963.9799999999996,83,518.953,6,450.05500000000006,19,1682.7610000000002,85,24871.274999999976,387,4403.315000000001,62,376.16299999999995,12,3050.1449999999986,135,30.386,1
"('AS14.01', datetime.date(2014, 4, 2))",461.0,69,,69,,69,30.975815310976646,284,171698.07700324056,1707,92.0,92,23.0,23,30093.281000000043,1926,77356.35000000006,1671,12442.418999999989,178,1211.7569999999998,102,518.953,6,540.5360000000001,20,2224.3019999999997,108,28300.066999999985,440,4403.315000000001,62,376.16299999999995,12,3391.5159999999996,151,30.386,1
"('AS14.01', datetime.date(2014, 4, 3))",493.0,74,,74,,74,32.15753865597924,308,193099.91200399396,1975,96.0,96,23.0,23,32414.745000000046,2179,91794.43200000007,1982,13736.049999999987,204,1287.9909999999998,105,518.953,6,540.5360000000001,20,2438.2039999999997,123,31454.307999999994,511,4422.397000000002,63,376.16299999999995,12,3574.2879999999996,164,30.386,1
"('AS14.01', datetime.date(2014, 4, 4))",524.0,79,,79,,79,35.19808212495506,332,205479.3230040073,2129,98.0,98,24.0,24,34372.57400000005,2371,97276.06000000013,2105,15281.276999999987,220,1287.9909999999998,105,518.953,6,540.5360000000001,20,2615.0049999999997,131,33540.505000000005,540,4580.638000000002,70,376.16299999999995,12,3702.979999999999,177,30.386,1
"('AS14.01', datetime.date(2014, 4, 5))",558.0,84,,84,,84,38.054137377837755,356,208819.7540040016,2192,98.0,98,24.0,24,49531.76400000003,2464,99161.46900000011,2155,15357.645999999988,221,1287.9909999999998,105,518.953,6,540.5360000000001,20,2696.138,138,33903.713,548,4768.583000000001,76,376.16299999999995,12,3821.9359999999992,186,30.386,1
"('AS14.01', datetime.date(2014, 4, 6))",584.0,88,,88,,88,39.59992456445699,380,215642.0660037994,2282,102.0,102,24.0,24,54077.40500000008,2597,102477.91200000003,2224,15544.859999999988,223,1287.9909999999998,105,633.359,8,540.5360000000001,20,2815.2580000000003,144,34225.173,553,4768.583000000001,76,376.16299999999995,12,3868.184999999999,191,30.386,1
"('AS14.01', datetime.date(2014, 4, 7))",610.0,92,,92,,92,40.81601947264062,404,226133.45700359342,2405,103.0,103,24.0,24,55007.80300000006,2729,109872.22700000003,2354,15991.980999999987,229,1334.1189999999997,110,633.359,8,557.643,21,2985.606,152,35700.591,577,4828.830000000002,77,376.16299999999995,12,4073.9959999999987,195,30.386,1
"('AS14.01', datetime.date(2014, 4, 8))",643.0,97,,97,,97,42.623868870913,428,241234.58900547025,2617,104.0,104,24.0,24,55894.98400000006,2885,119349.78,2547,19458.45999999999,250,1353.2499999999995,113,633.359,8,557.643,21,3195.12,159,38355.712,622,4828.830000000002,77,376.16299999999995,12,4110.138999999998,197,30.386,1
