,Unnamed: 0,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
0,"('AS14.01', datetime.date(2014, 2, 26))",25.0,-1.0,3.0,0.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"('AS14.01', datetime.date(2014, 2, 27))",44.0,-1.0,4.0,0.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"('AS14.01', datetime.date(2014, 3, 21))",75.0,0.0,5.0,3.2462476298511764,20254.85100030898,57.0,19.0,3388.197,8449.119,1358.312,49.544,0.0,172.20600000000002,251.096,5316.2310000000025,915.4450000000002,45.173,619.828,0.0
3,"('AS14.01', datetime.date(2014, 3, 22))",107.0,3.0,,7.036331137690506,26397.01199984549,60.0,20.0,4119.625999999999,13412.037000000002,1451.636,70.62,0.0,172.20600000000002,349.239,5755.863000000002,952.75,45.173,737.449,0.0
4,"('AS14.01', datetime.date(2014, 3, 23))",141.0,4.0,,9.177447874766465,33170.84400129317,60.0,20.0,5405.872000000003,18649.356000000007,1545.982,114.023,0.0,172.20600000000002,422.062,6656.702000000003,952.75,45.173,767.535,30.386
5,"('AS14.01', datetime.date(2014, 3, 24))",171.0,8.0,,11.072513221540811,48218.19500184057,70.0,20.0,6272.828000000011,27919.98500000001,2522.953,148.129,0.0,175.216,488.62,9880.328,1372.555,45.173,946.267,30.386
6,"('AS14.01', datetime.date(2014, 3, 25))",198.0,10.0,,13.433491918912974,69693.55000090596,70.0,21.0,7304.587000000009,38190.53600000003,2591.159,191.183,0.0,175.216,667.4390000000001,11799.798999999995,1372.555,280.396,1169.1599999999996,30.386
7,"('AS14.01', datetime.date(2014, 3, 26))",231.0,9.0,,15.864891638994797,86117.35100126264,70.0,21.0,8473.09300000001,47185.48900000002,3501.638,243.51399999999995,0.0,175.216,764.937,16391.858,1372.555,280.396,1202.5249999999996,30.386
8,"('AS14.01', datetime.date(2014, 3, 27))",266.0,10.0,,19.37412574031494,103559.50100064276,72.0,22.0,9702.420000000018,54122.001,4140.977,285.73299999999995,0.0,357.66700000000003,823.469,17327.239,1419.869,280.396,1381.554,30.386
9,"('AS14.01', datetime.date(2014, 3, 28))",298.0,7.0,,21.670878259605825,108482.99000024793,77.0,22.0,19765.01500000004,54988.83400000001,5146.379999999999,374.8989999999999,233.036,357.66700000000003,1049.42,17839.980000000003,2552.8780000000006,280.396,1683.2710000000002,30.386
